ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,payload_entropy,orig_payload_len,has_uri_payload,label
1780957232.613804,C87a6fc2e83c4,192.168.60.1,46084,192.168.60.7,5000,tcp,0.002916,81,330,7,5,5.2775,81,0,-1
1780957232.617189,Ca909219831bd,192.168.60.1,46100,192.168.60.7,5000,tcp,0.00176,90,254,7,5,5.434,90,0,-1
1780957232.619203,C3bec8250dc25,192.168.60.1,46106,192.168.60.7,5000,tcp,0.002798,90,239,7,5,5.3403,90,0,-1
1780957232.653723,Cd95b2dc62c58,192.168.60.1,37180,192.168.60.5,80,tcp,0.004874,335,12298,10,8,4.734,76,0,-1
1780957232.653723,C3e93162d1f9c,192.168.60.1,37182,192.168.60.5,80,tcp,0.005153,335,12298,10,8,4.734,76,0,-1
1780957232.791743,C99694dcd05ce,192.168.60.1,37200,192.168.60.5,80,tcp,0.003492,335,12298,10,8,4.734,76,0,-1
1780957233.129529,C257fed023bae,192.168.60.1,46116,192.168.60.7,5000,tcp,0.002803,81,330,7,5,5.2805,81,0,-1
1780957233.13226,C8b74078744ed,192.168.60.1,46132,192.168.60.7,5000,tcp,0.003051,90,254,7,5,5.4367,90,0,-1
1780957233.135478,Ce52cd376294f,192.168.60.1,46134,192.168.60.7,5000,tcp,0.003189,90,239,7,5,5.3451,90,0,-1
1780957233.399909,C919db93a94a5,192.168.60.1,58084,192.168.60.6,6379,tcp,0.000239,0,0,2,1,0.0,0,0,-1
1780957233.403201,Cf1417ca571f7,192.168.60.1,0,192.168.60.5,0,icmp,56.300349,1232,1232,22,22,0.0,0,0,-1
1780957233.408905,C632d093bbef4,192.168.60.1,0,192.168.60.6,0,icmp,56.299418,1232,1232,22,22,0.0,0,0,-1
1780957233.412931,Ce3d281e02970,192.168.60.1,0,192.168.60.7,0,icmp,56.299168,1232,1232,22,22,0.0,0,0,-1
1780957233.518526,C84217132b5a2,192.168.60.1,43406,192.168.60.6,22,tcp,0.007974,1,60,6,6,4.7729,1,0,-1
1780957233.524269,C360abd1ef781,192.168.60.1,37214,192.168.60.5,80,tcp,0.002495,335,12298,10,8,4.734,76,0,-1
1780957233.525165,Cc666dfc37f5c,192.168.60.1,46150,192.168.60.7,5000,tcp,0.002895,81,330,7,5,5.2805,81,0,-1
1780957233.528263,C377d6c7b04b3,192.168.60.1,46152,192.168.60.7,5000,tcp,0.001814,90,254,7,5,5.4367,90,0,-1
1780957233.530351,Cf9c52a28b2c6,192.168.60.1,46164,192.168.60.7,5000,tcp,0.001815,90,239,7,5,5.3451,90,0,-1
1780957233.530648,Cfcdfb19c763e,192.168.60.1,58094,192.168.60.6,6379,tcp,1.003802,5,7,6,4,2.9183,5,0,-1
1780957234.289838,Cbc29e5a2888c,192.168.60.1,46170,192.168.60.7,5000,tcp,0.006514,81,330,7,5,5.2892,81,0,-1
1780957234.293699,Cd33be5e28899,192.168.60.1,46172,192.168.60.7,5000,tcp,0.003005,90,254,7,5,5.4472,90,0,-1
1780957234.296566,C3232e606112a,192.168.60.1,46176,192.168.60.7,5000,tcp,0.004339,90,239,7,5,5.3489,90,0,-1
1780957234.569995,C6859a252fbab,192.168.60.1,43414,192.168.60.6,22,tcp,0.007957,1,60,6,6,4.7729,1,0,-1
1780957234.580891,Cd089b97e9622,192.168.60.1,58100,192.168.60.6,6379,tcp,1.003416,5,7,6,4,2.9183,5,0,-1
1780957234.678406,C8f69b81fa4d8,192.168.60.1,37216,192.168.60.5,80,tcp,0.004621,335,12298,10,8,4.7342,76,0,-1
1780957234.678441,C840882dccbd0,192.168.60.1,37226,192.168.60.5,80,tcp,0.004613,335,12298,10,8,4.7342,76,0,-1
1780957234.807138,C60667df2cb2a,192.168.60.1,37242,192.168.60.5,80,tcp,0.00538,335,12298,10,8,4.7342,76,0,-1
1780957235.541176,C9322a174c2bb,192.168.60.1,37250,192.168.60.5,80,tcp,0.003883,335,12298,10,8,4.7343,76,0,-1
1780957235.638324,C08c33a9084d9,192.168.60.1,46178,192.168.60.7,5000,tcp,0.003248,81,330,7,5,5.2813,81,0,-1
1780957235.641208,Cda693dcfdcdc,192.168.60.1,46190,192.168.60.7,5000,tcp,0.00206,90,254,7,5,5.4392,90,0,-1
1780957235.643434,C87b9233549b6,192.168.60.1,46192,192.168.60.7,5000,tcp,0.002854,90,239,7,5,5.3466,90,0,-1
1780957236.152344,Cbb7f4481d263,192.168.60.1,46208,192.168.60.7,5000,tcp,0.002901,81,330,7,5,5.2798,81,0,-1
1780957236.154988,C4dcc1a3c42e5,192.168.60.1,46210,192.168.60.7,5000,tcp,0.005715,90,254,7,5,5.4367,90,0,-1
1780957236.16056,Cd7dab5a637c8,192.168.60.1,46224,192.168.60.7,5000,tcp,0.002725,90,239,7,5,5.344,90,0,-1
1780957236.545699,Cecd4fa6e00c8,192.168.60.1,46232,192.168.60.7,5000,tcp,0.002812,81,330,7,5,5.2798,81,0,-1
1780957236.548408,C421459049df1,192.168.60.1,46234,192.168.60.7,5000,tcp,0.002154,90,254,7,5,5.4367,90,0,-1
1780957236.550366,C30d33cbc628b,192.168.60.1,46242,192.168.60.7,5000,tcp,0.002688,90,239,7,5,5.344,90,0,-1
1780957236.555258,C1290679e7c55,192.168.60.1,43424,192.168.60.6,22,tcp,0.008064,1,60,6,6,4.7729,1,0,-1
1780957236.566386,Cce7f1f98a78a,192.168.60.1,58110,192.168.60.6,6379,tcp,1.002518,5,7,6,4,2.9183,5,0,-1
1780957236.708825,Cadf959b56f17,192.168.60.1,37254,192.168.60.5,80,tcp,0.005072,335,12298,10,8,4.7341,76,0,-1
1780957236.709246,C01d19fa3a521,192.168.60.1,37266,192.168.60.5,80,tcp,0.004707,335,12298,10,8,4.7341,76,0,-1
1780957236.824748,C180dc18fe5e8,192.168.60.1,37276,192.168.60.5,80,tcp,0.004575,335,12298,10,8,4.7341,76,0,-1
1780957237.317933,C8dca2343c4ab,192.168.60.1,46258,192.168.60.7,5000,tcp,0.003785,81,330,7,5,5.2825,81,0,-1
1780957237.322014,Cffead8a2070e,192.168.60.1,46272,192.168.60.7,5000,tcp,0.002205,90,254,7,5,5.4392,90,0,-1
1780957237.324291,C7853c962ac01,192.168.60.1,46286,192.168.60.7,5000,tcp,0.002499,90,239,7,5,5.3451,90,0,-1
