timestamp,vm,process,time_delta,session_open,session_close,has_command,user_switch,auth_failure,cmd_len,num_processes,line_len,label
Jun  7 21:29:53,vm2,0,0,0,0,0,0,0,0,1,75,-1
Jun  7 21:29:53,vm2,0,0,0,0,0,0,0,0,1,70,-1
Jun  7 21:30:47,vm2,2,54,0,0,0,1,0,0,1,70,-1
Jun  7 21:30:47,vm2,2,0,0,0,0,0,0,0,1,55,-1
Jun  7 21:30:47,vm2,2,0,0,0,0,0,0,0,1,129,-1
Jun  7 21:30:47,vm2,2,0,1,0,0,0,0,0,1,101,-1
Jun  7 21:30:47,vm2,2,0,0,0,0,0,1,0,1,120,-1
Jun  7 21:30:47,vm2,9,0,0,0,1,1,0,33,0,133,-1
Jun  7 21:30:47,vm2,9,0,0,0,0,0,0,0,0,129,-1
Jun  7 21:30:47,vm2,9,0,1,0,0,0,0,0,0,98,-1
Jun  7 21:30:47,vm2,9,0,0,1,0,0,0,0,0,87,-1
Jun  7 21:30:47,vm2,2,0,0,1,0,0,0,0,1,90,-1
